"Question","Answer"
"What is Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"Can you explain Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What are the key points of Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"How does Built to Spill a la all ages a la indie snob quiz relate to So, I saw the glamorous Built to Spill last night here in Boise at an odd venue.  Personally I would not have picked this place, but eh....  After about 30 mins of Hootin' and Hollerin' saturating the air and waving ""metal"" hands flying past my face, I started to wonder whether or not these people realized that Built to Spill was actually from here.  Many of the kids in the crowd seemed to be there, just to be there.  Now, I realize this was sorta lame, but when there is that pause towards the end of ""Big Dipper"" yet you know the song isn't over, a large portion of the crowd started clapping as if it were the end...   So, I pointed that out to my beloved friends and they just reassure me that I'm the only person that notices or cares about that and that I'm a ""snob""...so I got to thinking....eh?  A snob..? moi?  NO no no...anyone who likes built to spill would notice that and it would bother them on a certain level.... well, I decided to make a little quiz .....  An indie snob quiz.... its not that indie and really not that snob, but its fun...uh...I think....oh and it may have a pac northwest bias..... eh..whatever...
take it!!!


1.)
Dave Mustane is to Metallica as Lou Barlow is to_________?
a.Sebadoh
b.Lemonheads
c.Dinosaur Jr.
d.Pixies

2.)
Skool Kids and Amoeba are __________?
a. Record Labels
b.Record Titles
c.Record Stores
d.Recording Studios

3.)
Phil Ek and Kurt Block are _________?
a. Singers for brit pop bands
b.Writers for Mojo Magazine
c.Producers
d.Record Label Owners

4.)
Which of these releases is out of print?
a.Dreamy-Beat Happening (sub pop)
b.Oh the guilt/Puss (split single) nirvana/Jesus Lizard (touch & go)
c.Guilt, Regret, Embarassment- Treepeople (toxic Shock)
d.Interstate 8- Modest mouse (k)

5.)Connect the label to its homeland                         
a. Merge                                                         1.New York, NY
b.Amphetamine Reptile                                   2.Olympia, Wa
c.Mr. Lady                                                       3.Chapel Hill, NC
d.Saddle Creek                                               4.Chicago, IL
e.Jetset                                                           5.Houston, TX
f.Teen Beat                                                     6.San Francisco, CA               \
                                                                       7.Boston, MA       
                                                                       8.Omaha, Nebraska
                                                                       9.Seattle, WA
                                                                      10.Los Angelos, CA

6.)Jad Fair sang for
a.he's solo
b.Halo Benders
c.Half Japanese
d.All of the above

7.)Slovik Girl and My Bloody Valentine are best catagorized as
a. alternative
b.indie
c.metal
d.goth
e.shoegazer
f.brit pop

7.) Which Jesus and Mary Chain albums are most similar in sound to My Bloody Valentine?
a.Psycho Candy
b.Stoned and Dethroned
c.Just Like Honey
d.Automatic

8.)When Bob Stinson died, I was _____________
a.I dont know
b.2 years old
c.Aghast
d.Not surprised
e.Who the hell is bob stinson?

9.)Sweaters are pracical year round?  (true or false

10.)Sympathy for the record industry is a 
a.novel
b.documentary
c.record label
d.all of the above
e.none of the above

11.)Gerald Cosloy is to Stephen Malkmus as
______________ is to Rose Melberg

a.Sammy Hagar
b.Bruce Pavitt
c.Tiger Trap
d.Calvin Johnson
e.no answers make sense

12.)Alex Chilton is 
a. a song by the replacements
b. former singer for big star
c. co-hort of John Auer
d. popular fiction novelist


13.)The Geneology of Morality was written by
a.Nietzsche
b.Neetzche
c.Neechie
d.Nietzche

ok the last was just for fun.... after Sir Wevah corrected me, I was going to correct this but nah..... I'll leave my flaws for all to cast their stones...  ""comments""?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What are some interesting facts about Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"Who are the experts on Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What are the benefits of learning about Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What are the challenges of learning about Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What is the history of Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What are the future trends of Built to Spill a la all ages a la indie snob quiz?","Sorry, no answer found for Built to Spill a la all ages a la indie snob quiz."
"What is answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"Can you explain answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What are the key points of answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"How does answers answers....clarity... relate to 1.)
           Dave Mustane is to Metallica as Lou Barlow is to Dinosaur Jr.
           (think.....bitter)
           a.Sebadoh
           b.Lemonheads
           c.Dinosaur Jr.
           d.Pixies

           2.)
           Skool Kids and Amoeba  are Record Stores
           I think they both have two locations within miles of eachother...whats up with that?
           a. Record Labels
           b.Record Titles
           c.Record Stores
           d.Recording Studios

           3.)
           Phil Ek and Kurt Block are producers.
           Kurt Bloch...(oops I spelled his name wrong before)...but anyhoo, he does a lot of things           among them guitarist for the Fastbacks...but his best accomplishment was when he           produced the incredibly memorable cheese pop punk band, Sicko!!!!)  I heart Sicko!!
           a. Singers for brit pop bands *****yea...cuz seattle is the mecca (sarcasm)
           b.Writers for Mojo Magazine ( that would be Gay Dad and that would be wrong)
           c.Producers ****BLING!
           d.Record Label Owners***maybe someday, but for now...no

           4.)
           Which of these releases is out of print?
           a.Dreamy-Beat Happening (sub pop) word up..... this is out of print on sub pop
           b.Oh the guilt/Puss (split single) nirvana/Jesus Lizard (touch & go)...so is this
           c.Guilt, Regret, Embarassment- Treepeople (toxic Shock)...yet again...rereleased on K                                   but without 10 of the albums best tracks...
           d.Interstate 8- Modest mouse (k)..technically speaking this album doesn't exist because                        it was released on Up not K, but otherwise it would be out of print...  all the songs are                        on ""building nothing out of something"". I was hoping Ya'll would pick this one, did ya did            ya did ya?

           5.)Connect the label to its homeland (okay I admit I put extra cities and omitted some that should be there.....all in the good name of seeing whether people would be anal...I'm dissapointed in everyone......mainly my local chums....   some of you KNOW THIS STUFF!!!!)
           a. Merge                 3.Chapel Hill, NC                                                     
           b.Amphetamine Reptile (answer wasn't there but its Minneapolis, MN)
           c.Mr. Lady (also not there but Durham, NC)
           d.Saddle Creek        8.Omaha, Nebraska
           e.Jetset                    1.New York, NY
           f.Teen Beat             7.Boston, MA 
          


           6.)Jad Fair sang for
           a.he's solo  
           b.Halo Benders
           c.Half Japanese (firecracker firecracker boom boom boom!!!)
           d.All of the above

           7.)Slovik Girl and My Bloody Valentine are best catagorized as
           (you could be lame and shove them into whatever you want but word up fools cuz you 
           trippin if you didn't pick E & F)...... both chosen by themselves will work.... but a cunning                       mind would pick both.
           a. alternative
           b.indie
           c.metal
           d.goth
           e.shoegazer
           f.brit pop

           7.) Which Jesus and Mary Chain albums are most similar in sound to My Bloody
           Valentine?
           a.Psycho Candy  (yea....)
           b.Stoned and Dethroned (hell no)
           c.Just Like Honey (yes.....)
           d.Automatic (are you deaf.....of course not...geez)

           8.)When Bob Stinson died, I was _____________
           (This is really a personal question... but if you answered E, A, B, or C...well you failed.
            The Replacements have a freaking Anthology.....  and a cheese ball teeny bopper movie             named after one of their songs... )
           a.I dont know
           b.2 years old
           c.Aghast
           d.Not surprised
           e.Who the hell is bob stinson?

           9.)Sweaters are pracical year round? (true or false)...personally I vote yes...if you said            no, you better not be wearing white.... cuz you're a whore!!! 

           10.)Sympathy for the record industry is a 
           a.novel (I'm not done with it yet)
           b.documentary (if it was, I'd see it)
           c.record label (yes'm)
           d.all of the above (of course not)
           e.none of the above (uh............)

           11.)Gerald Cosloy (Mr. Matador) is to Stephen Malkmus (Mr. Pavement among others) as
          Calvin Johnson (Mr. K)  is to Rose Melberg (Ms. Tiger Trap, Softies, Gaze, solo shite...oh and some other new band but I forgot what they're called but I'm guessing they sound exactly like all the others because they all sound the SAME!!!).... 

           a.Sammy Hagar (I cant drive 55!!)
           b.Bruce Pavitt (I suck and love shitty music....as of recently)
           c.Tiger Trap (we were really young girls.....once)
           d.Calvin Johnson (I like really young girls!!!)
           e.no answers make sense

           12.)Alex Chilton is 
           a. a song by the replacements (true)
           b. former singer for big star (true)
           c. co-hort of John Auer (psh!! frosting on his beater)
           d. popular fiction novelist ( he wrote what was to become the epic movie, ""Eating            Raoul"")


           13.)The Geneology of Morality was written by
           a.Nietzsche (yes'm)
           b.Neetzche (no....)
           c.Neechie ( OF COURSE!!!!!! but then you cant be lame and overpronounce the name            so....no..)
           d.Nietzche (close but ....nah)

So, there you have it grade yourself.....     

I have stuff to say, but I'm tired after being little miss teacher and grading all the failing tests....I'm so disappointed...... you need to study, read your linear notes!!!!!  

wow, I spelled a lot of words wrong but I dunt wawnt ta coreckt thim.?","Sorry, no answer found for answers answers....clarity...."
"What are some interesting facts about answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"Who are the experts on answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What are the benefits of learning about answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What are the challenges of learning about answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What is the history of answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What are the future trends of answers answers....clarity...?","Sorry, no answer found for answers answers....clarity...."
"What is sticker madness?","Sorry, no answer found for sticker madness."
"Can you explain sticker madness?","Sorry, no answer found for sticker madness."
"What are the key points of sticker madness?","Sorry, no answer found for sticker madness."
"How does sticker madness relate to woo hoo.... a bin full of old matador stickers... all free!!!! We got accausted by this weird old guy who knew his shit.  I was joking around about this Cd on the rack...dont remember who, and he turned around and gave us the history...discography.... colaborations info for every band in that row...till we pawned him off on this guy Evan, who in turn pawned him off on the staff, who at first seemed elated for the music info, but little did they know...hahhaha  That guy was fun for the first few minutes, then he seemed more like Professor Closet Case.  Neurolux tonight .... uh...maybe.?","Sorry, no answer found for sticker madness."
"What are some interesting facts about sticker madness?","Sorry, no answer found for sticker madness."
"Who are the experts on sticker madness?","Sorry, no answer found for sticker madness."
"What are the benefits of learning about sticker madness?","Sorry, no answer found for sticker madness."
"What are the challenges of learning about sticker madness?","Sorry, no answer found for sticker madness."
"What is the history of sticker madness?","Sorry, no answer found for sticker madness."
"What are the future trends of sticker madness?","Sorry, no answer found for sticker madness."
"What is I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"Can you explain I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What are the key points of I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"How does I know Prince, I can have you fired!!!!!!!!! relate to This past week was a blur of slight hangovers, beer, music, attractive loser guys, and laughter.  I missed the Microphones last night because I decided to hit the Neurolux with my male allie, Max, whose new found bitter pessimism is more than just a downer. It was downright aggrivating.... I was on the verge of tears (drunk too), when he wouldn't stop telling me all relationships are pointless, and why bother ...blah blah blah....  

So, on Saturday, the self proclaimed ""super shy"" Evan practically hoisted sail on the lap of my ""just being nice"" friend, Suzanne.  I know this is possibly bitchy, but he was all over her and the whole thing makes me laugh hysterically....  She was begging me to pretend to be her lesbian girlfriend and she asked other guys to pretend they were with her to ward off his advances.  At one point, I lost my composure when this rat-looking guy hit on suzanne, but wanted to make sure Evan wasn't her boyfriend.  Needless to say, boise has a lack of decent guys.  There are the occasional walk throughs, but most leave.  
Last evening I found out that the adorably cute boy, Shawn is moving to Hell-A in two freaking days!!!  What the hell is that?  Nice warning.  For a 28 year old guy, he seems awfully lost as to what he wants out of life.  Its like he just lives with no particular ambition or anything, which has a lot to do with why I dont talk to him.  I dont know what to say.... Me, the girl who never shuts up, has nothing to open with.  He doesn't seem extremely musical, he skateboards (uhh....), and he works as a cook.  I asked him if he was into culinary arts and he shot that down.  Maaan, I dont get him at all, but I suppose that matters less since he'll be in my geographical nemesis.  When I left L.A., I could'nt be happier about my decision.  The most vacuous place on earth should be on billboards as you enter the city.  bah!!!  

So, the search for a decent waffle boy goes on..... enough of these pancake boys....and even more frightening, coffee and toast boys....  gasp!!! boys that skip breakfast all together... oh, sweet waffle boys, if you're out there, share your kitchen space, and speak up.  The fast food nation of losers is too prevalent.?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What are some interesting facts about I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"Who are the experts on I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What are the benefits of learning about I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What are the challenges of learning about I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What is the history of I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What are the future trends of I know Prince, I can have you fired!!!!!!!!!?","Sorry, no answer found for I know Prince, I can have you fired!!!!!!!!!."
"What is uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"Can you explain uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What are the key points of uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"How does uh......... this is bogus relate to What Color is Your Aura?





                    
                    We don't need a psychic to tell us
                    that you're giving off a Crimson
                    vibe. Your ruby-red aura reveals
                    your passionate, sensual nature —
                    you're all about earthly pleasure.
                    Whether you're getting a great
                    massage or having a sumptuous
                    dinner, you delight in experiences
                    that fully engage your senses.
                    (Crimson is, after all, the color of
                    roses, wine, and velvet.) That's why
                    it's the material things that really
                    float your boat. If you can taste it,
                    touch it, smell it, or see it right here,
                    right now, you're all over it. After all,
                    you're firmly rooted in reality,
                    preferring to live in the present
                    rather than the future. And you
                    probably have a quick temper, too —
                    most folks with red auras do. But
                    you cool down quickly, turning your
                    outspoken energy and stamina to
                    projects with fast, concrete results.
                    A hot-blooded go-getter like you is
                    always in favor of instant
                    gratification.

      Red

      Your color is red, the color of racy sportscars,
      blushing cheeks, and luscious roses. Red
      symbolizes passion, romance, and love. So, since
      you're ruled by red, you probably trust your
      feelings more than your brain and tend to act
      spontaneously. If you see something you want,
      you go for it without thinking twice — impulsive is
      your middle name. You don't wait around for
      people to make decisions, either; you dive right
      in. Quite the romantic, you pay close attention to
      your emotions. In fact, if your heart isn't in what
      you're doing, you won't be satisfied. Of course,
      even when you do pour all your energy into the
      projects you tackle, your impetuous nature means
      your passions can shift as frequently as the wind.
      That's why some reds have trouble with
      commitment. Our advice? Next time you're feeling
      fickle, think before you act, if possible. You might
      be surprised at the results. Overall, though, it's
      great to be red. No one lives life more completely
      than you do.?","Sorry, no answer found for uh......... this is bogus."
"What are some interesting facts about uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"Who are the experts on uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What are the benefits of learning about uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What are the challenges of learning about uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What is the history of uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What are the future trends of uh......... this is bogus?","Sorry, no answer found for uh......... this is bogus."
"What is NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"Can you explain NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What are the key points of NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"How does NIght of the living Dead relate to After I got off work yesterday, I decided to head to SoHO and read my lovely book, while sipping warm cups of caaawfee.  Low and behold, of all people who plaugue my and suzanne's existence, Tex Mex happened by.  This is this incredibly arrogant, attractive, indie-rock-esque, more brit-pop, lad whose impossible to figure out.  Suzanne has a little wink wink for him, but he's just confusing as all hell.  Last week, she told Aaron of her attraction and he told another guy she was into him, hehehehe...so that guy wanted to meet her... then after she set him straight, he told the Tex, but he completely ignored tact.  Tex was sorta helping out with the grand task of running Kareoke, and A-Dawg just went up on the stage of the Neurolux and told him right there, as if this was some horrid play.  Needless to say, Suzy was humiliated...and well I think Tex just seems like an ass.  ....blah blah blah

So, anyways, I got locked out of Suz' apartment last night and was stuck downtown for hours.  I went to the neurolux to uh.....get drunk and kill time, and all these Nasty old men were hitting on me.  I'm not talking 30 year olds or even 40 year olds.... oh no the full on 50-60's...what the Fuck is up with that?  I was down right rude to this one man who gave me the creeps....he looked like Uncle Fester....... oh...I'm getting creeped out right now.  
Flying solo at bars=not a good idea.  The only redeemingly interesting guy turned out to be buying drugs, so my interest once again...... dissolved.  I think I'm going through a thirteen year old girl phase of some sort... I need to focus on work and books and ignore outside interaction...... oh and music...yes music....ahhh sweet sweet music....?","Sorry, no answer found for NIght of the living Dead."
"What are some interesting facts about NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"Who are the experts on NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What are the benefits of learning about NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What are the challenges of learning about NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What is the history of NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What are the future trends of NIght of the living Dead?","Sorry, no answer found for NIght of the living Dead."
"What is coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"Can you explain coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What are the key points of coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"How does coffee news and so much more relate to OH MY GAWD!!! okay I'm so fucking annoyed...  When I had coffee today, the boy whose moving to L.A. was there and he came at sat with me after my friends left.  We talked a bit and I think I came off as negative or just uh......... I dunno...it was all awkward..probably because he knows I have a crush on him...anyhow, this whole time I convinced myself he was lame and that way it was no big deal that I never got to really know him...but he's NOT!!! He's actually really intelligent and super nice and Hawt!!!! and this fucking sucks..  He's even got good style.... ahhhhhhhhhhh.....  why does every guy I ever get interested in or get together with leave?  If fate exists, its definately against me.  My ex boyfriend in college and I were sooooooooooooooo in Love and than he switched schools for his major.  We tried to keep it going but it didn't work out, and I still regret that...  Countless others just decide to leave...I think it has a lot to do with Idaho and how much it sucks here and how anyone with goals cant achieve any of them while living here...  Anyways, Shawn isn't dumb, he's attractive and he's moving... I guess I am too but .......sigh....Oh well.... I think I need to get to know him better before he goes.......... I have a week...start clock...........NOW!

weird sidenote: my horoscope was actually true... not even vaugely true...  it was exact!....weird....?","Sorry, no answer found for coffee news and so much more."
"What are some interesting facts about coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"Who are the experts on coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What are the benefits of learning about coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What are the challenges of learning about coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What is the history of coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What are the future trends of coffee news and so much more?","Sorry, no answer found for coffee news and so much more."
"What is I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"Can you explain I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What are the key points of I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"How does I hate to be a bother relate to Recently I've been drinking a lot of coffee and beer...not together, but in a sequence.

I just got out of the elevator from hell.....all these people are on lunch and the combination smells of their grotesque food was nauseating.  Plus, this one lady insisted on sharing her crockpot recipes...which honestly sounded like she didn't know how to cook.  eg.  throw a roast in a crockpot with a can of Ragu....  in an hour you have dinner....... or death.... I dont know which comes sooner...or which you'd prefer.  

Soho as usual....  Hey, seattle peeps email my friend Matt (methurston@micronpc.com) with show info for this weekend..he's going to be in seattle and needs shows....needs..... good guy..hook him up.  His tastes vary...but for example he talked ad infinitum about minneapolis bands last night....uh he's from there

So, I spoke to Mr Lovely again today...he's shy....  but I found out that he has really cool aspirations.  I realize he's leaving soon, but I really want to know him.  He's obviously running away from a shitty situation, to a shitty town, that will probably fullfill some hedonistic need for him, but I dont feel that he's necessarily a pleasure seeker.  Despite his exit from Idaho thus my world, I really hope he finds whatever he's looking for.   Soon I'll be heading away from here, and I'm intimidated for some fucked up reason.  Living in L.A. did such a disservice to my confidence in being self sufficient.  I failed in every aspect of life.  No job to save my life, my relationships dissoved, and I stood up for the unpopular girl, causing an isolation that really fucking hurt.  I spent christmas alone... normally I wouldn't think that would be such a big deal, but alone doesn't even begin to represent the feeling of knowing people around you are celebrating and exchanging gifts and you're watching ""shield around the K"" over and over and over.... till you memorize tedious facts about Rose Melberg, Calvin Johnson...and KAOS (a station I've never even heard!!!).?","Sorry, no answer found for I hate to be a bother."
"What are some interesting facts about I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"Who are the experts on I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What are the benefits of learning about I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What are the challenges of learning about I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What is the history of I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What are the future trends of I hate to be a bother?","Sorry, no answer found for I hate to be a bother."
"What is Marquee Moon?","Sorry, no answer found for Marquee Moon."
"Can you explain Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What are the key points of Marquee Moon?","Sorry, no answer found for Marquee Moon."
"How does Marquee Moon relate to So, I spoke yet again to the ever intriguing boy, last night.  As a result, I'm sick this morning.  I think I drank too many cherry cokes and smoked way too much.  We saw this band from Bellingham called, ""Federation X"" who he claimed had a ""GodheadSilo"" sound...  I'd say more, but for some reason, I just feel that this format is really voyeuristic and now I think I should shut up and write critiques of albums or political rants.  I'll write no more... although I will sigh.........................................................................  aaaaaaaahhhhhhhh.....?","Sorry, no answer found for Marquee Moon."
"What are some interesting facts about Marquee Moon?","Sorry, no answer found for Marquee Moon."
"Who are the experts on Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What are the benefits of learning about Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What are the challenges of learning about Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What is the history of Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What are the future trends of Marquee Moon?","Sorry, no answer found for Marquee Moon."
"What is I think I'm dying?","Sorry, no answer found for I think I'm dying."
"Can you explain I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What are the key points of I think I'm dying?","Sorry, no answer found for I think I'm dying."
"How does I think I'm dying relate to I feel like death.... my throat is soooooooooo damn sore, I'm congested, and I want to curl in a ball under my desk and die.  Blast this cold weather.  Sara is going to be here soon to bring me music to cure my ears, but the rest of me is gone for sure.  

At lunch I was totally dissed by this uber fake guy...  I suppose I could act as though it didn't bother me, but damn it, this town is pretty snobby for as small as it is.  Some of these guys are so fucking stupid...  For instance, when someone who doesn't even know me refers to me as a snobby bitch...yea that stings.  Just because I dont crawl in the laps of the man whores?","Sorry, no answer found for I think I'm dying."
"What are some interesting facts about I think I'm dying?","Sorry, no answer found for I think I'm dying."
"Who are the experts on I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What are the benefits of learning about I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What are the challenges of learning about I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What is the history of I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What are the future trends of I think I'm dying?","Sorry, no answer found for I think I'm dying."
"What is augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"Can you explain augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What are the key points of augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"How does augh!!!!!!!!! relate to I'm fucking so sick... I just want to fall on the ground and die.  Soho proved to be lamer than ever.  A cup of ice water fell on my lap, while the bitter cold wind blew, freezing my legs and allowing me to look like I pissed my pants.  Also, Mr wonderful seemed not that great today.  I had coffee with Sara and he joined but I noticed things I'd never noticed before (isn't this always how it is?).  For instance, he isn't as intelligent as previously admired.  Some of his comments seemed a little aimed toward the crass, and as of these last few days, he's acted so aloof.  I dont think any form of discussed correspondence is necessary.  There would be no positive outcome, nor would it have potential for anything.  I think I'm going to stick to people I have more in common with.  Somehow, I overlooked so many things, which I now see.  Jeremy was right.  I do go for the unattainable...maybe out of fear of rejection or possibly because I'll always have these wonderful ""what could've been"" stories.  Screw all that... I'm never going for unattainable again... If the lad isn't emotionally or in this case, ""physically"" available, I'm just going to dismiss it entirely.  Obviously one of my best friends had some sage advice, and he's right.  It was as if after he said it, I noticed all these things that I had overlooked or blatantly ignored.  augh............. why????? why????","Sorry, no answer found for augh!!!!!!!!!."
"What are some interesting facts about augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"Who are the experts on augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What are the benefits of learning about augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What are the challenges of learning about augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What is the history of augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What are the future trends of augh!!!!!!!!!?","Sorry, no answer found for augh!!!!!!!!!."
"What is I dont know you?","Sorry, no answer found for I dont know you."
"Can you explain I dont know you?","Sorry, no answer found for I dont know you."
"What are the key points of I dont know you?","Sorry, no answer found for I dont know you."
"How does I dont know you relate to Maybe its the sickness, maybe its the cold, maybe the complete isolation of apartment sitting for a weekend, but I feel really disconncected from everyone.  Its as if I've never really known anyone, and they've never known me.  Most people seem content with the false sense of belonging, and the casual smiles, so why cant I?  The only reason I've ever been guarded around others is because its as if they dont want to really know.  Every now and then I just break down and wonder what the fuck am I doing?  Who the hell am I?  Why am I here?... wherever that may be... Why do I do what I do... what do I do?  And the most frustrating thing is that when people try to assimilate with me and share their common situations, I look at them like... you're five words away from fucking me over.  At this point, I feel like I could just disappear.... 

Trivial crap I learned today.... in the song ""kicked it in the sun""... the line .. ""from Ada to Irene"".... those are streets on the north end of Boise...  and I'm jealous that my friend was at the show at the Edge where they recorded the live tracks for the Carry the Zero single.... why god why!!!!!!!!!!!!???","Sorry, no answer found for I dont know you."
"What are some interesting facts about I dont know you?","Sorry, no answer found for I dont know you."
"Who are the experts on I dont know you?","Sorry, no answer found for I dont know you."
"What are the benefits of learning about I dont know you?","Sorry, no answer found for I dont know you."
"What are the challenges of learning about I dont know you?","Sorry, no answer found for I dont know you."
"What is the history of I dont know you?","Sorry, no answer found for I dont know you."
"What are the future trends of I dont know you?","Sorry, no answer found for I dont know you."
"What is Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"Can you explain Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What are the key points of Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"How does Send me to Mulikai relate to My boss actually told me NOT to come into work tomorrow because she thinks I'm too sick....  ??????  I made more mix tapes last night to get up to speed.  I think I'm going to make Cd's from now on because its so much faster.... and no generation loss.  yea.. my life is filled with thrills like mix tape production and NPR...  woo hoo!!!!?","Sorry, no answer found for Send me to Mulikai."
"What are some interesting facts about Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"Who are the experts on Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What are the benefits of learning about Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What are the challenges of learning about Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What is the history of Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What are the future trends of Send me to Mulikai?","Sorry, no answer found for Send me to Mulikai."
"What is blah?","Sorry, no answer found for blah."
"Can you explain blah?","Sorry, no answer found for blah."
"What are the key points of blah?","Sorry, no answer found for blah."
